CUST_NO.  XCOORD.   YCOORD.    DEMAND   READYTIME  DUEDATE   SERVICETIME
    6      40         69         20        621        702         90   
    7      40         66         20          0       1130         90   
    8      38         68         20        255        324         90   
    9      38         70         10        534        605         90   
   10      35         66         10        357        410         90   
   11      35         69         10        448        505         90   
   12      25         85         20          0       1107         90   
   13      22         75         30         30         92         90   
   14      22         85         10        567        620         90   
   15      20         80         40        384        429         90   
   16      20         85         40        475        528         90   
   17      18         75         20         99        148         90   
   18      15         75         20        179        254         90   
   19      15         80         10        278        345         90   
   20      30         50         10         10         73         90   
   21      30         52         20          0       1135         90   
   22      28         52         20        812        883         90   
   23      28         55         10        732        777         90   
   24      25         50         10         65        144         90   
   25      25         52         40        169        224         90   
   26      25         55         10          0       1130         90   
   27      23         52         10        261        316         90   
   28      23         55         20        546        593         90   
   29      20         50         10        358        405         90   
   30      20         55         10        449        504         90   
   31      10         35         20          0       1112         90   
   32      10         40         30         31        100         90   
   33       8         40         40         87        158         90   
   34       8         45         20          0       1113         90   
   35       5         35         10        283        344         90   
   36       5         45         10        665        716         90   
   37       2         40         20          0       1106         90   
   38       0         40         30        479        522         90   
   39       0         45         20        567        624         90   
   40      35         30         10        264        321         90   
   41      35         32         10        166        235         90   
   42      33         32         20         68        149         90   
   43      33         35         10         16         80         90   
   44      32         30         10        359        412         90   
   45      30         30         10        541        600         90   
   46      30         32         30        448        509         90   
   47      30         35         10       1054       1127         90   
   48      28         30         10          0       1122         90   
   49      28         35         10       1001       1066         90   
   50      26         32         10          0       1123         90   
   51      25         30         10        725        786         90   
   52      25         35         10          0       1124         90   
   53      44          5         20        286        347         90   
   54      42         10         40        186        257         90   
   55      42         15         10         95        158         90   
   56      40          5         30        385        436         90   
   57      40         15         40         35         87         90   
   58      38          5         30        471        534         90   
   59      38         15         10          0       1110         90   
   60      35          5         20        562        629         90   
   61      50         30         10        531        610         90   
   62      50         35         20        262        317         90   
   63      50         40         50        171        218         90   
   64      48         30         10        632        693         90   
   65      48         40         10         76        129         90   
   66      47         35         10        826        875         90   
   67      47         40         10         12         77         90   
   68      45         30         10        734        777         90   
   69      45         35         10        916        969         90   
   70      95         30         30        387        456         90   
   71      95         35         20        293        360         90   
   72      53         30         10          0       1122         90   
   73      92         30         10        478        551         90   
   74      53         35         50        353        412         90   
   75      45         65         20          0       1130         90   
   76      90         35         10        203        260         90   
   77      88         30         10        574        643         90   
   78      88         35         20        109        170         90   
   79      87         30         10        668        731         90   
   80      85         25         10        769        820         90   
   81      85         35         30         47        124         90   
   82      75         55         20          0       1110         90   
   83      72         55         10          0       1113         90   
   84      70         58         20        458        523         90   
   85      68         60         30          0       1116         90   
   86      66         55         10        173        238         90   
   87      65         55         20         85        144         90   
   88      65         60         30        645        708         90   
   89      63         58         10        737        802         90   
   90      60         55         10         20         84         90   
   91      60         60         10          0       1123         90   
   92      67         85         20        368        441         90   
   93      65         85         40        475        518         90   
   94      65         82         10          0       1105         90   
   95      62         80         30          0       1108         90   
   96      60         80         10          0       1109         90   
   97      60         85         30        561        622         90   
   98      58         75         20          0       1115         90   
   99      55         80         10        743        820         90   
  100      55         85         20        647        726         90  
    1      45         68         10          0       1127         90   
    2      45         70         30          0       1125         90   
    3      42         66         10          0       1129         90   
    4      42         68         10        727        782         90   
    5      42         65         10          0       1130         90   
    6      40         69         20        621        702         90   
    7      40         66         20          0       1130         90   
    8      38         68         20        255        324         90   
    9      38         70         10        534        605         90   
   10      35         66         10        357        410         90   
   11      35         69         10        448        505         90   
   12      25         85         20          0       1107         90   
   13      22         75         30         30         92         90   
   14      22         85         10          0       1106         90   
   15      20         80         40        384        429         90   
   16      20         85         40          0       1105         90   
   17      18         75         20         99        148         90   
   18      15         75         20          0       1110         90   
   19      15         80         10          0       1106         90   
   20      30         50         10          0       1136         90   
   21      30         52         20          0       1135         90   
   22      28         52         20        812        883         90   
   23      28         55         10        732        777         90   
   24      25         50         10          0       1131         90   
   25      25         52         40        169        224         90   
   26      25         55         10          0       1130         90   
   27      23         52         10        261        316         90   
   28      23         55         20          0       1128         90   
   29      20         50         10          0       1126         90   
   30      20         55         10        449        504         90   
   31      10         35         20          0       1112         90   
   32      10         40         30          0       1114         90   
   33       8         40         40         87        158         90   
   34       8         45         20          0       1113         90   
   35       5         35         10        283        344         90   
   36       5         45         10        665        716         90   
   37       2         40         20          0       1106         90   
   38       0         40         30        479        522         90   
   39       0         45         20        567        624         90   
   40      35         30         10        264        321         90   
   41      35         32         10        166        235         90   
   42      33         32         20         68        149         90   
   43      33         35         10          0       1129         90   
   44      32         30         10        359        412         90   
   45      30         30         10        541        600         90   
   46      30         32         30          0       1125         90   
   47      30         35         10          0       1127         90   
   48      28         30         10          0       1122         90   
   49      28         35         10       1001       1066         90   
   50      26         32         10          0       1123         90   
   51      25         30         10          0       1121         90   
   52      25         35         10          0       1124         90   
   53      44          5         20        286        347         90   
   54      42         10         40          0       1105         90   
   55      42         15         10         95        158         90   
   56      40          5         30        385        436         90   
   57      40         15         40          0       1111         90   
   58      38          5         30        471        534         90   
   59      38         15         10          0       1110         90   
   60      35          5         20          0       1100         90   
   61      50         30         10          0       1123         90   
   62      50         35         20        262        317         90   
   63      50         40         50          0       1131         90   
   64      48         30         10        632        693         90   
   65      48         40         10         76        129         90   
   66      47         35         10        826        875         90   
   67      47         40         10         12         77         90   
   68      45         30         10        734        777         90   
   69      45         35         10        916        969         90   
   70      95         30         30        387        456         90   
   71      95         35         20          0       1088         90   
   72      53         30         10          0       1122         90   
   73      92         30         10          0       1090         90   
   74      53         35         50        353        412         90   
   75      45         65         20          0       1130         90   
   76      90         35         10        203        260         90   
   77      88         30         10        574        643         90   
   78      88         35         20        109        170         90   
   79      87         30         10        668        731         90   
   80      85         25         10        769        820         90   
   81      85         35         30          0       1098         90   
   82      75         55         20          0       1110         90   
   83      72         55         10          0       1113         90   
   84      70         58         20        458        523         90   
   85      68         60         30          0       1116         90   
   86      66         55         10          0       1119         90   
   87      65         55         20         85        144         90   
   88      65         60         30        645        708         90   
   89      63         58         10          0       1121         90   
   90      60         55         10          0       1125         90   
   91      60         60         10          0       1123         90   
   92      67         85         20        368        441         90   
   93      65         85         40        475        518         90   
   94      65         82         10          0       1105         90   
   95      62         80         30          0       1108         90   
   96      60         80         10          0       1109         90   
   97      60         85         30          0       1105         90   
   98      58         75         20          0       1115         90   
   99      55         80         10        743        820         90   
  100      55         85         20        647        726         90
    1      45         68         10          0       1127         90   
    2      45         70         30          0       1125         90   
    3      42         66         10          0       1129         90   
    4      42         68         10        727        782         90   
    5      42         65         10          0       1130         90   
    6      40         69         20          0       1127         90   
    7      40         66         20          0       1130         90   
    8      38         68         20        255        324         90   
    9      38         70         10        534        605         90   
   10      35         66         10          0       1129         90   
   11      35         69         10        448        505         90   
   12      25         85         20          0       1107         90   
   13      22         75         30         30         92         90   
   14      22         85         10          0       1106         90   
   15      20         80         40        384        429         90   
   16      20         85         40          0       1105         90   
   17      18         75         20          0       1112         90   
   18      15         75         20          0       1110         90   
   19      15         80         10          0       1106         90   
   20      30         50         10          0       1136         90   
   21      30         52         20          0       1135         90   
   22      28         52         20          0       1133         90   
   23      28         55         10        732        777         90   
   24      25         50         10          0       1131         90   
   25      25         52         40        169        224         90   
   26      25         55         10          0       1130         90   
   27      23         52         10          0       1128         90   
   28      23         55         20          0       1128         90   
   29      20         50         10          0       1126         90   
   30      20         55         10          0       1125         90   
   31      10         35         20          0       1112         90   
   32      10         40         30          0       1114         90   
   33       8         40         40          0       1112         90   
   34       8         45         20          0       1113         90   
   35       5         35         10          0       1107         90   
   36       5         45         10          0       1110         90   
   37       2         40         20          0       1106         90   
   38       0         40         30        479        522         90   
   39       0         45         20          0       1105         90   
   40      35         30         10          0       1125         90   
   41      35         32         10          0       1127         90   
   42      33         32         20          0       1126         90   
   43      33         35         10          0       1129         90   
   44      32         30         10        359        412         90   
   45      30         30         10          0       1123         90   
   46      30         32         30          0       1125         90   
   47      30         35         10          0       1127         90   
   48      28         30         10          0       1122         90   
   49      28         35         10          0       1126         90   
   50      26         32         10          0       1123         90   
   51      25         30         10          0       1121         90   
   52      25         35         10          0       1124         90   
   53      44          5         20        286        347         90   
   54      42         10         40          0       1105         90   
   55      42         15         10         95        158         90   
   56      40          5         30          0       1101         90   
   57      40         15         40          0       1111         90   
   58      38          5         30        471        534         90   
   59      38         15         10          0       1110         90   
   60      35          5         20          0       1100         90   
   61      50         30         10          0       1123         90   
   62      50         35         20        262        317         90   
   63      50         40         50          0       1131         90   
   64      48         30         10          0       1124         90   
   65      48         40         10          0       1133         90   
   66      47         35         10          0       1129         90   
   67      47         40         10         12         77         90   
   68      45         30         10          0       1125         90   
   69      45         35         10        916        969         90   
   70      95         30         30          0       1087         90   
   71      95         35         20          0       1088         90   
   72      53         30         10          0       1122         90   
   73      92         30         10          0       1090         90   
   74      53         35         50        353        412         90   
   75      45         65         20          0       1130         90   
   76      90         35         10        203        260         90   
   77      88         30         10        574        643         90   
   78      88         35         20          0       1095         90   
   79      87         30         10        668        731         90   
   80      85         25         10          0       1094         90   
   81      85         35         30          0       1098         90   
   82      75         55         20          0       1110         90   
   83      72         55         10          0       1113         90   
   84      70         58         20        458        523         90   
   85      68         60         30          0       1116         90   
   86      66         55         10          0       1119         90   
   87      65         55         20         85        144         90   
   88      65         60         30          0       1119         90   
   89      63         58         10          0       1121         90   
   90      60         55         10          0       1125         90   
   91      60         60         10          0       1123         90   
   92      67         85         20        368        441         90   
   93      65         85         40          0       1102         90   
   94      65         82         10          0       1105         90   
   95      62         80         30          0       1108         90   
   96      60         80         10          0       1109         90   
   97      60         85         30          0       1105         90   
   98      58         75         20          0       1115         90   
   99      55         80         10        743        820         90   
  100      55         85         20        647        726         90
    1      45         68         10        885        994         90   
    2      45         70         30        802        893         90   
    3      42         66         10         25        186         90   
    4      42         68         10        699        810         90   
    5      42         65         10         15        120         90   
    6      40         69         20        580        743         90   
    7      40         66         20        142        253         90   
    8      38         68         20        220        359         90   
    9      38         70         10        499        640         90   
   10      35         66         10        331        436         90   
   11      35         69         10        420        533         90   
   12      25         85         20        617        756         90   
   13      22         75         30         30        155         90   
   14      22         85         10        541        646         90   
   15      20         80         40        362        451         90   
   16      20         85         40        448        555         90   
   17      18         75         20         75        172         90   
   18      15         75         20        142        291         90   
   19      15         80         10        244        379         90   
   20      30         50         10         10        137         90   
   21      30         52         20        888        991         90   
   22      28         52         20        776        919         90   
   23      28         55         10        709        800         90   
   24      25         50         10         25        184         90   
   25      25         52         40        142        251         90   
   26      25         55         10        582        741         90   
   27      23         52         10        234        343         90   
   28      23         55         20        523        616         90   
   29      20         50         10        335        428         90   
   30      20         55         10        422        531         90   
   31      10         35         20        181        256         90   
   32      10         40         30         31        170         90   
   33       8         40         40         52        193         90   
   34       8         45         20        719        848         90   
   35       5         35         10        252        375         90   
   36       5         45         10        639        742         90   
   37       2         40         20        357        460         90   
   38       0         40         30        457        544         90   
   39       0         45         20        538        653         90   
   40      35         30         10        236        349         90   
   41      35         32         10        132        269         90   
   42      33         32         20         27        190         90   
   43      33         35         10         16        144         90   
   44      32         30         10        332        439         90   
   45      30         30         10        512        629         90   
   46      30         32         30        417        540         90   
   47      30         35         10        982       1127         90   
   48      28         30         10        601        724         90   
   49      28         35         10        969       1098         90   
   50      26         32         10        783        912         90   
   51      25         30         10        695        816         90   
   52      25         35         10        883        998         90   
   53      44          5         20        255        378         90   
   54      42         10         40        150        293         90   
   55      42         15         10         63        190         90   
   56      40          5         30        359        462         90   
   57      40         15         40         35        140         90   
   58      38          5         30        439        566         90   
   59      38         15         10        607        784         90   
   60      35          5         20        529        662         90   
   61      50         30         10        491        650         90   
   62      50         35         20        235        344         90   
   63      50         40         50        147        242         90   
   64      48         30         10        601        724         90   
   65      48         40         10         50        155         90   
   66      47         35         10        802        899         90   
   67      47         40         10         12        143         90   
   68      45         30         10        712        799         90   
   69      45         35         10        889        996         90   
   70      95         30         30        353        490         90   
   71      95         35         20        260        393         90   
   72      53         30         10        422        533         90   
   73      92         30         10        442        587         90   
   74      53         35         50        323        442         90   
   75      45         65         20        962       1103         90   
   76      90         35         10        175        288         90   
   77      88         30         10        539        678         90   
   78      88         35         20         78        201         90   
   79      87         30         10        636        763         90   
   80      85         25         10        744        845         90   
   81      85         35         30         47        201         90   
   82      75         55         20        344        445         90   
   83      72         55         10        228        375         90   
   84      70         58         20        425        556         90   
   85      68         60         30        527        640         90   
   86      66         55         10        141        270         90   
   87      65         55         20         56        173         90   
   88      65         60         30        614        739         90   
   89      63         58         10        705        834         90   
   90      60         55         10         20        148         90   
   91      60         60         10        809        916         90   
   92      67         85         20        331        478         90   
   93      65         85         40        453        540         90   
   94      65         82         10        260        361         90   
   95      62         80         30        174        261         90   
   96      60         80         10         64        187         90   
   97      60         85         30        531        652         90   
   98      58         75         20         30        139         90   
   99      55         80         10        705        858         90   
  100      55         85         20        608        765         90 
    1      45         68         10        890        989         90   
    2      45         70         30        816        879         90   
    3      42         66         10         55        156         90   
    4      42         68         10        703        806         90   
    5      42         65         10         15         60         90   
    6      40         69         20        559        764         90   
    7      40         66         20        172        223         90   
    8      38         68         20        250        329         90   
    9      38         70         10        489        650         90   
   10      35         66         10        361        406         90   
   11      35         69         10        450        503         90
   12      25         85         20        647        726         90   
   13      22         75         30         30         95         90   
   14      22         85         10        571        616         90   
   15      20         80         40        392        421         90   
   16      20         85         40        478        525         90   
   17      18         75         20        105        142         90   
   18      15         75         20        172        261         90   
   19      15         80         10        274        349         90   
   20      30         50         10         10         77         90   
   21      30         52         20        918        961         90   
   22      28         52         20        806        889         90   
   23      28         55         10        739        770         90   
   24      25         50         10         55        154         90   
   25      25         52         40        172        221         90   
   26      25         55         10        612        711         90   
   27      23         52         10        264        313         90   
   28      23         55         20        553        586         90   
   29      20         50         10        365        398         90   
   30      20         55         10        452        501         90   
   31      10         35         20        204        233         90   
   32      10         40         30         31        189         90   
   33       8         40         40         42        203         90   
   34       8         45         20        715        852         90   
   35       5         35         10        251        376         90   
   36       5         45         10        648        733         90   
   37       2         40         20        365        452         90   
   38       0         40         30        474        527         90   
   39       0         45         20        541        650         90   
   40      35         30         10        240        345         90   
   41      35         32         10        123        278         90   
   42      33         32         20         19        225         90   
   43      33         35         10         16        153         90   
   44      32         30         10        338        433         90   
   45      30         30         10        513        628         90   
   46      30         32         30        415        542         90   
   47      30         35         10        872       1127         90   
   48      28         30         10        599        726         90   
   49      28         35         10        917       1126         90   
   50      26         32         10        779        916         90   
   51      25         30         10        695        816         90   
   52      25         35         10        857       1024         90   
   53      44          5         20        221        412         90   
   54      42         10         40         96        347         90   
   55      42         15         10         35        233         90   
   56      40          5         30        347        474         90   
   57      40         15         40         35        172         90   
   58      38          5         30        403        602         90   
   59      38         15         10        521        870         90   
   60      35          5         20        487        704         90   
   61      50         30         10        422        719         90   
   62      50         35         20        217        362         90   
   63      50         40         50        142        247         90   
   64      48         30         10        567        758         90   
   65      48         40         10         34        171         90   
   66      47         35         10        794        907         90   
   67      47         40         10         12        226         90   
   68      45         30         10        716        795         90   
   69      45         35         10        873       1012         90   
   70      95         30         30        266        577         90   
   71      95         35         20        181        472         90   
   72      53         30         10        402        553         90   
   73      92         30         10        345        684         90   
   74      53         35         50        294        471         90   
   75      45         65         20        951       1114         90   
   76      90         35         10        153        310         90   
   77      88         30         10        450        767         90   
   78      88         35         20         50        237         90   
   79      87         30         10        567        832         90   
   80      85         25         10        713        876         90   
   81      85         35         30         47        331         90   
   82      75         55         20        311        478         90   
   83      72         55         10        127        476         90   
   84      70         58         20        349        632         90   
   85      68         60         30        476        691         90   
   86      66         55         10         67        344         90   
   87      65         55         20         25        256         90   
   88      65         60         30        546        807         90   
   89      63         58         10        630        909         90   
   90      60         55         10         20        293         90   
   91      60         60         10        769        956         90   
   92      67         85         20        229        580         90   
   93      65         85         40        442        551         90   
   94      65         82         10        227        394         90   
   95      62         80         30        163        272         90   
   96      60         80         10         36        291         90   
   97      60         85         30        469        714         90   
   98      58         75         20         30        227         90   
   99      55         80         10        595        968         90   
  100      55         85         20        493        880         90 
    1      45         68         10        850       1030         90   
    2      45         70         30        758        938         90   
    3      42         66         10         16        196         90   
    4      42         68         10        665        845         90   
    5      42         65         10         15        195         90   
    6      40         69         20        572        752         90   
    7      40         66         20        108        288         90   
    8      38         68         20        200        380         90   
    9      38         70         10        480        660         90   
   10      35         66         10        294        474         90   
   11      35         69         10        387        567         90   
   12      25         85         20        597        777         90   
   13      22         75         30         30        210         90   
   14      22         85         10        504        684         90   
   15      20         80         40        317        497         90   
   16      20         85         40        412        592         90   
   17      18         75         20         34        214         90   
   18      15         75         20        127        307         90   
   19      15         80         10        222        402         90   
   20      30         50         10         10        190         90   
   21      30         52         20        850       1030         90   
   22      28         52         20        758        938         90   
   23      28         55         10        665        845         90   
   24      25         50         10         15        195         90   
   25      25         52         40        107        287         90   
   26      25         55         10        572        752         90   
   27      23         52         10        199        379         90   
   28      23         55         20        480        660         90   
   29      20         50         10        292        472         90   
   30      20         55         10        387        567         90   
   31      10         35         20        129        309         90   
   32      10         40         30         31        211         90   
   33       8         40         40         33        213         90   
   34       8         45         20        694        874         90   
   35       5         35         10        224        404         90   
   36       5         45         10        601        781         90   
   37       2         40         20        319        499         90   
   38       0         40         30        411        591         90   
   39       0         45         20        506        686         90   
   40      35         30         10        203        383         90   
   41      35         32         10        111        291         90   
   42      33         32         20         19        199         90   
   43      33         35         10         16        196         90   
   44      32         30         10        296        476         90   
   45      30         30         10        481        661         90   
   46      30         32         30        389        569         90   
   47      30         35         10        947       1127         90   
   48      28         30         10        573        753         90   
   49      28         35         10        944       1124         90   
   50      26         32         10        758        938         90   
   51      25         30         10        666        846         90   
   52      25         35         10        851       1031         90   
   53      44          5         20        227        407         90   
   54      42         10         40        132        312         90   
   55      42         15         10         37        217         90   
   56      40          5         30        321        501         90   
   57      40         15         40         35        215         90   
   58      38          5         30        413        593         90   
   59      38         15         10        606        786         90   
   60      35          5         20        506        686         90   
   61      50         30         10        481        661         90   
   62      50         35         20        200        380         90   
   63      50         40         50        105        285         90   
   64      48         30         10        573        753         90   
   65      48         40         10         13        193         90   
   66      47         35         10        761        941         90   
   67      47         40         10         12        192         90   
   68      45         30         10        666        846         90   
   69      45         35         10        853       1033         90   
   70      95         30         30        332        512         90   
   71      95         35         20        237        417         90   
   72      53         30         10        388        568         90   
   73      92         30         10        425        605         90   
   74      53         35         50        293        473         90   
   75      45         65         20        943       1123         90   
   76      90         35         10        142        322         90   
   77      88         30         10        519        699         90   
   78      88         35         20         50        230         90   
   79      87         30         10        610        790         90   
   80      85         25         10        705        885         90   
   81      85         35         30         47        227         90   
   82      75         55         20        305        485         90   
   83      72         55         10        212        392         90   
   84      70         58         20        401        581         90   
   85      68         60         30        494        674         90   
   86      66         55         10        116        296         90   
   87      65         55         20         25        205         90   
   88      65         60         30        587        767         90   
   89      63         58         10        680        860         90   
   90      60         55         10         20        200         90   
   91      60         60         10        773        953         90   
   92      67         85         20        315        495         90   
   93      65         85         40        407        587         90   
   94      65         82         10        221        401         90   
   95      62         80         30        128        308         90   
   96      60         80         10         36        216         90   
   97      60         85         30        502        682         90   
   98      58         75         20         30        210         90   
   99      55         80         10        692        872         90   
  100      55         85         20        597        777         90
    1      45         68         10        830       1049         90   
    2      45         70         30        756        939         90   
    3      42         66         10         16        336         90   
    4      42         68         10        643        866         90   
    5      42         65         10         15        226         90   
    6      40         69         20        499        824         90   
    7      40         66         20         87        308         90   
    8      38         68         20        150        429         90   
    9      38         70         10        429        710         90   
   10      35         66         10        279        488         90   
   11      35         69         10        363        590         90   
   12      25         85         20        547        826         90   
   13      22         75         30         30        280         90   
   14      22         85         10        489        698         90   
   15      20         80         40        318        495         90   
   16      20         85         40        394        609         90   
   17      18         75         20         33        226         90   
   18      15         75         20         68        365         90   
   19      15         80         10        176        447         90   
   20      30         50         10         10        265         90   
   21      30         52         20        836       1043         90   
   22      28         52         20        704        991         90   
   23      28         55         10        664        845         90   
   24      25         50         10         15        333         90   
   25      25         52         40         88        305         90   
   26      25         55         10        502        821         90   
   27      23         52         10        179        398         90   
   28      23         55         20        476        663         90   
   29      20         50         10        288        475         90   
   30      20         55         10        368        585         90   
   31      10         35         20        144        293         90   
   32      10         40         30         31        309         90   
   33       8         40         40         33        313         90   
   34       8         45         20        655        912         90   
   35       5         35         10        191        436         90   
   36       5         45         10        588        793         90   
   37       2         40         20        305        512         90   
   38       0         40         30        414        587         90   
   39       0         45         20        481        710         90   
   40      35         30         10        180        405         90   
   41      35         32         10         63        338         90   
   42      33         32         20         19        345         90   
   43      33         35         10         16        273         90   
   44      32         30         10        278        493         90   
   45      30         30         10        453        688         90   
   46      30         32         30        355        602         90   
   47      30         35         10        837       1127         90   
   48      28         30         10        539        786         90   
   49      28         35         10        867       1126         90   
   50      26         32         10        719        976         90   
   51      25         30         10        635        876         90   
   52      25         35         10        825       1056         90   
   53      44          5         20        193        440         90   
   54      42         10         40         78        365         90   
   55      42         15         10         35        287         90   
   56      40          5         30        308        513         90   
   57      40         15         40         35        246         90   
   58      38          5         30        376        629         90   
   59      38         15         10        519        872         90   
   60      35          5         20        463        728         90   
   61      50         30         10        412        729         90   
   62      50         35         20        181        398         90   
   63      50         40         50        100        289         90   
   64      48         30         10        539        786         90   
   65      48         40         10         12        223         90   
   66      47         35         10        753        948         90   
   67      47         40         10         12        275         90   
   68      45         30         10        669        842         90   
   69      45         35         10        836       1049         90   
   70      95         30         30        284        559         90   
   71      95         35         20        194        459         90   
   72      53         30         10        367        588         90   
   73      92         30         10        370        659         90   
   74      53         35         50        263        502         90   
   75      45         65         20        847       1130         90   
   76      90         35         10        119        344         90   
   77      88         30         10        469        748         90   
   78      88         35         20         50        295         90   
   79      87         30         10        573        826         90   
   80      85         25         10        694        895         90   
   81      85         35         30         47        356         90   
   82      75         55         20        293        496         90   
   83      72         55         10        154        449         90   
   84      70         58         20        360        621         90   
   85      68         60         30        470        697         90   
   86      66         55         10         76        335         90   
   87      65         55         20         25        260         90   
   88      65         60         30        551        802         90   
   89      63         58         10        640        899         90   
   90      60         55         10         20        276         90   
   91      60         60         10        756        969         90   
   92      67         85         20        257        552         90   
   93      65         85         40        409        584         90   
   94      65         82         10        209        412         90   
   95      62         80         30        130        305         90   
   96      60         80         10         36        283         90   
   97      60         85         30        470        713         90   
   98      58         75         20         30        248         90   
   99      55         80         10        628        935         90   
  100      55         85         20        530        843         90      
    1      45         68         10        760       1120         90   
    2      45         70         30        668       1028         90   
    3      42         66         10         16        376         90   
    4      42         68         10        575        935         90   
    5      42         65         10         15        375         90   
    6      40         69         20        482        842         90   
    7      40         66         20         18        378         90   
    8      38         68         20        110        470         90   
    9      38         70         10        390        750         90   
   10      35         66         10        204        564         90   
   11      35         69         10        297        657         90   
   12      25         85         20        507        867         90   
   13      22         75         30         30        390         90   
   14      22         85         10        414        774         90   
   15      20         80         40        227        587         90   
   16      20         85         40        322        682         90   
   17      18         75         20         33        393         90   
   18      15         75         20         37        397         90   
   19      15         80         10        132        492         90   
   20      30         50         10         10        370         90   
   21      30         52         20        760       1120         90   
   22      28         52         20        668       1028         90   
   23      28         55         10        575        935         90   
   24      25         50         10         15        375         90   
   25      25         52         40         17        377         90   
   26      25         55         10        482        842         90   
   27      23         52         10        109        469         90   
   28      23         55         20        390        750         90   
   29      20         50         10        202        562         90   
   30      20         55         10        297        657         90   
   31      10         35         20         39        399         90   
   32      10         40         30         31        391         90   
   33       8         40         40         33        393         90   
   34       8         45         20        604        964         90   
   35       5         35         10        134        494         90   
   36       5         45         10        511        871         90   
   37       2         40         20        229        589         90   
   38       0         40         30        321        681         90   
   39       0         45         20        416        776         90   
   40      35         30         10        113        473         90   
   41      35         32         10         21        381         90   
   42      33         32         20         19        379         90   
   43      33         35         10         16        376         90   
   44      32         30         10        206        566         90   
   45      30         30         10        391        751         90   
   46      30         32         30        299        659         90   
   47      30         35         10        767       1127         90   
   48      28         30         10        483        843         90   
   49      28         35         10        766       1126         90   
   50      26         32         10        668       1028         90   
   51      25         30         10        576        936         90   
   52      25         35         10        761       1121         90   
   53      44          5         20        137        497         90   
   54      42         10         40         42        402         90   
   55      42         15         10         35        395         90   
   56      40          5         30        231        591         90   
